Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src
medicube-medicube-age-r-booster-pro-mini,"Medicube Age-R Booster Pro Mini","Re-densify and lift your complexion with the clinical-grade Medicube Age-R Booster Pro Mini. Engineered for maximum fidelity in skin repair, it provides immediate restoration for sagging, tired skin. Simplified, portable viral beauty tool to achieve firm and lifted glass skin! Medicube Age-R Booster Pro Mini uses takes the best of the Booster Pro to help achieve skin goals in a lightweight, budget-friendly mini version! The Booster mode (level 1-5) improves product absorption by 562% and can be paired with red or blue LED to address troubled, dull skin. Booster Pro is a high-tech beauty device that provides you professional-level skincare in the comfort of your own home.","Medicube","Devices","Medicube, Devices",TRUE,Title,Default Title,MEDICUBE-9120000000039,950,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Medicube_Age-R_Booster_Pro_Mini.png?v=1766405396
medicube-medicube-booster-pro-panda-head-case,"Medicube Booster Pro Panda Head Case","Achieve the ultimate in dermatological excellence with the Medicube Booster Pro Panda Head Case. This high-fidelity formula is precision-engineered to deliver visible transformation in skin texture and clarity. Limited edition case for Medicube Age-R Booster Pro. Medicube Age-R Booster Pro case in a limited-edition pink bear shape! Protect your Age-R Booster Pro when not in use or travelling.","Medicube","Devices","Medicube, Devices",TRUE,Title,Default Title,MEDICUBE-9120000000022,397,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Medicube_Booster_Pro_Panda_Head_Case.png?v=1766407458
dr-althea-345-relief-cream-50ml,"345 Relief Cream (50ml)","Experience the viral skin-soothing sensation with Dr. Althea 345 Relief Cream. This lightweight yet intensely nourishing gel-cream is a multi-action post-acne treat that targets blemishes, repairs the skin barrier, and provides deep hydration. Infused with Niacinamide, Panthenol, and Opuntia Ficus-Indica Stem Extract, it effectively calms redness and irritation while strengthening your skin's natural defenses for a clear, resilient glow.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-345-RELIEF-CREAM,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr.Althea345ReliefCream.png?v=1723908906
dr-althea-345-relief-cream-mist-100ml,"345 Relief Cream Mist (100ml)","The viral 345 Relief Cream is now available in a refreshing, portable mist! This ultra-fine cloud delivers immediate hydration and soothing care whenever your skin needs it most. Designed to replicate the barrier-repairing benefits of the original cream, this mist combines Niacinamide and Panthenol to calm inflammation and lock in moisture on the go, making it the perfect companion for sensitive or dehydrated skin.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-345-MIST,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/345ReliefMist-Direct.png?v=1723933758
dr-althea-aqua-marine-jelly-mist-100ml,"Aqua Marine Jelly Mist (100ml)","Quench your skin's thirst with the innovative Dr. Althea Aqua Marine Jelly Mist. This unique mist transitions from a cooling jelly texture to a fine hydrating spray upon application, providing a protective moisture shield. Formulated with mineral-rich Sea Water and Saccharide Isomerate, it delivers deep, long-lasting hydration while balancing the skin's temperature for a refreshed, dewy Korean glass skin finish.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-MARINE-JELLY-MIST,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/AquaMarineJellyMist-Direct.png?v=1723933454
dr-althea-aqua-marine-watery-cream-50ml,"Aqua Marine Watery Cream (50ml)","Indulge in a wave of hydration with Dr. Althea Aqua Marine Watery Cream. This refreshing moisturiser features a lightweight, water-burst texture that melts into the skin to provide a surge of moisture without any greasiness. Enriched with mineral-rich marine extract and multi-layer Hyaluronic Acid, it plumps fine lines and restores elasticity, leaving your complexion feeling supple, smooth, and revitalized.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-MARINE-WATERY-CREAM,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/AquaMarineWateryCream-Direct.png?v=1723933390
dr-althea-147-barrier-cream-50ml,"147 Barrier Cream (50ml)","Specifically engineered for compromised skin, the Dr. Althea 147 Barrier Cream provides intensive recovery and protection. This rich yet non-clogging formula is powered by a high concentration of Ceramides and Panthenol to rebuild the skin's protective barrier and seal in moisture. Ideal for sensitive, irritated, or over-exfoliated skin, it promotes rapid healing and restores optimal skin health for a calm, balanced complexion.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-147-BARRIER-CREAM,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_147_Barrier_Cream.png?v=1773112789
dr-althea-gentle-pore-cleansing-oil-150ml,"Gentle Pore Cleansing Oil (150ml)","Transform your cleansing ritual with the Dr. Althea Gentle Pore Cleansing Oil. This lightweight, silky oil dissolves stubborn makeup, sunscreen, and oxidized sebum while maintaining the skin's natural moisture balance. Formulated with plant-derived oils that emulsify instantly upon contact with water, it ensures a clean, non-greasy finish that leaves pores refined and skin feeling incredibly soft and refreshed.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-GENTLE-PORE-CLEANSING-OIL,420,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Gentle_Pore_Cleansing_Oil.png?v=1773767129
dr-althea-vita-glow-mask-1pc,"Vita Glow Mask (1 PC)","Reveal an instant radiance with the Dr. Althea Vita Glow Mask. This premium sheet mask is drenched in a brightening essence featuring Vitamin C and Glutathione to target dullness and uneven skin tone. The high-quality sheet material ensures maximum absorption, delivering active ingredients deep into the skin to enhance luminosity and provide a refreshed, ""lit-from-within"" glow in just 15 minutes.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-VITA-GLOW-MASK,1805,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Vita_Glow_Mask_Box_Direct.png?v=1773766766
dr-althea-vitamin-c-booster-serum-30ml,"Vitamin C Booster Serum (30ml)","Revitalize and brighten your complexion with the Dr. Althea Vitamin C Booster Serum. This high-potency antioxidant treatment is specifically formulated to target hyperpigmentation and stimulate collagen production. Combining pure Vitamin C with soothing botanicals, it effectively fades dark spots and protects against environmental stressors without the irritation often associated with active serums, leaving your skin luminous and firm.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-VIT-C-BOOSTER,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/VitaminCSerum-Direct.png?v=1723933220
dr-althea-marine-anti-blemish-mask-1pc,"Marine Anti-Blemish Mask (1 PC)","Specifically designed for troubled skin, the Dr. Althea Marine Anti-Blemish Mask uses the healing power of the sea to calm inflammation and prevent breakouts. Infused with Sea Water and Centella Asiatica, this mask provides immediate relief to irritated areas while balancing oil production. The specialized sheet delivery system ensures ingredients penetrate deeply to soothe active blemishes and promote a clear, healthy appearance.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-MARINE-BLEMISH-MASK,1805,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MarineAntiBlemishMask-Direct.png?v=1723933156
dr-althea-essential-skin-conditioner-silk-mask-1pc,"Essential Skin Conditioner Silk Mask (1 PC)","Transform stressed skin with the Dr. Althea Essential Skin Conditioner Silk Mask. This luxurious silk sheet mask fits like a second skin, providing intensive conditioning and calming care. Drenched in a powerful essence of Witch Hazel and Green Tea extracts, it effectively reduces redness, balances hydration, and refines texture, making it an ideal treatment for recovering skin or preparation for a flawless makeup application.","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-SILK-MASK,1805,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/EssentialSkinConditionerSilkMask-Direct.png?v=1723933092
dr-althea-pdrn-reju-5000-cream-20g,"PDRN Reju 5000 Cream (20g)","Dr. Althea's PDRN Reju 5000 Cream is a biome-powered vegan formula packed with 5,000 ppm PDRN and Centella Asiatica Leaf Water to restore skin texture and firmness. This lightweight, non-greasy cream absorbs seamlessly and layers effortlessly for personalized hydration and elasticity care. Perfect for soothing post-treatment skin, use as a nightly mask, or apply to irritated areas for targeted relief. Delivers calming, regenerative benefits with long-lasting hydration and a healthy glow—no he...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5071,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_PDRN_Reju_5000.png?v=1773503089
dr-althea-pore-refresh-grinding-cleansing-balm-50ml,"Pore Refresh Grinding Cleansing Balm (50ml)","Effective deep pore cleansing balm in a convenient and hygienic dispenser Dr. Althea Pore Refresh Grinding Cleansing Balm, formulated with essential ingredients, offers a deep yet gentle pore-cleansing experience for all skin types. Its hygienic grinding mechanism ensures convenient and precise portion control while maintaining product freshness. The balm’s strong cleansing effect effortlessly removes sunscreen, makeup, and waterproof products, minimizing heaviness and oiliness. It leaves ski...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5190,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_87_a2c6a63c-0e4e-4265-99ca-414a0baaf2ce.png?v=1769056709
dr-althea-jelly-seal-repair-mask-4-pcs,"Jelly Seal Repair Mask (4 PCs)","A dual layer jelly mask to nourish and seal in moisture and nutrients Dr. Althea Jelly Seal Repair Mask is a dual-layer jelly sheet mask designed to restore the skin’s oil-moisture balance while deeply nourishing and strengthening the skin barrier. Its firm yet delicate jelly-like texture ensures maximum absorption of active ingredients without irritation, making it ideal for sensitive and combination skin. It provides multi-layer hydration, ensuring long-lasting moisture retention. In additi...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5204,295,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Jelly_Seal_Repair_Mask_4_PCs.png?v=1772997767
dr-althea-cushion-veil-calming-mask-4-pcs,"Cushion Veil Calming Mask (4 PCs)","A cooling sheet mask for irritated, acne-prone skin. Dr. Althea Cushion Veil Calming Mask is a cooling sheet mask designed to soothe irritation and reduce redness while being gentle enough for sensitive skin. Infused with Cica Complex, Chamomile Extract, and Inje Betula Water, this mask deeply hydrates, strengthens the skin barrier, and shields the skin from external stressors. This mask primarily focuses on soothing irritated skin and reinforcing the skin barrier. Soothes and calms irritated...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5205,295,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Cushion_Veil_Calming_Mask__4_PCs_-removebg-preview.png?v=1766173823
dr-althea-aqua-blue-moisturizing-mask-4-pcs,"Aqua Blue Moisturizing Mask (4 PCs)","Deeply soothing and hydrating face mask for sensitive skin Dr. Althea Aqua Blue Hydration Mask is an ultra-hydrating sheet mask designed to provide deep moisture and soothe sensitive skin. Made from tannin-rich oak wood, this mask effectively delivers natural ingredients for intense hydration and a revitalized complexion. It soothes skin with natural ingredients such as Bambusa, Azulene, and Blue Agave which also gives the mask its beautiful, natural blue colour. 24 hr soothing hydration","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5208,295,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Aqua_Blue_Moisturizing_Mask_4_PCs.png?v=1772997677
dr-althea-85-anastatica-skin-conditioning-toner-250ml,"85% Anastatica Skin Conditioning Toner (250ml)","Revitalize and deeply hydrate with potent water-loving ingredients Dr. Althea ’ s Anastatica Skin-Conditioning Toner is a light, natural toner that was created using 85% extract from the Anastatica Hierochuntica plant, also known as the Rose of Jericho. The Rose of Jericho evolved so that even in the driest most desolate environments, one drop of water will bring it back to life. This toner penetrates deep into your skin and boosts hydration and elasticity. It is also made up entirely of EWG ...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5281,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_85__Anastatica_Skin_Conditioning_Toner__250ml_-removebg-preview.png?v=1766173823
dr-althea-85-anastatica-skin-conditioning-pad-65pcs,"85% Anastatica Skin Conditioning Pad (65pcs)","Tone, hydrate and improve skin tone with these dual-sided toner pads. Dr. Althea Anastatica Skin Conditioning Pad is a two-step double-sided pad that contains 85% of Anastatica Extract rather than purified water. It not only provides moisture and forms moisturizing membrane to protect tired skin from external irritation, but also absorbs and removes the remaining waste after washing the face. It helps the skin to be clean and fully convey the effect of the next skincare. 2-step dual sided ton...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5334,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Anastatica_Skin_Conditioning_Pad.png?v=1732054504
dr-althea-fresh-deep-noni-lotion-110ml,"Fresh Deep Noni Lotion (110ml)","Achieve a balanced, hydrated, and comfortable complexion with the Fresh Deep Noni Lotion Dr. Althea Fresh Deep Noni Lotion is a versatile skincare product formulated with Noni extract and a blend of four natural ingredients, including Centella Asiatica, Anastatica Hierochuntica, Melia Azadirachta Leaf and Artichoke Leaf. It effectively soothes and nourishes the skin, reduces redness, inflammation, and sensitivity. The combination of low molecular weight Hydrolyzed Hyaluronic Acid and Anastati...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5335,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Fresh_Deep_Noni_Lotion__110ml_-removebg-preview.png?v=1766173824
dr-althea-vitamin-c-boosting-serum-30ml,"Vitamin C Boosting Serum (30ml)","Say goodbye to dull, uneven skin tone with this Vitamin C boosting complex! Dr.Althea’s Vitamin C Boosting Serum is a vegan, daily care vitamin C serum with tranexamic acid that helps to improve the skin tone and restore the skin’s natural glow. This new and improved serum is made of 63% Vita boosting complex which is a combination of 9 types of vitamins and Hyppophae Rhamnoides Fruit Extract, to deliver a high level of Vitamin C to the skin, without causing any irritation. Hyppophae Rhamnoid...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5368,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Vitamin_C_Boosting_Serum__30ml_-removebg-preview.png?v=1766173825
dr-althea-skin-relief-essence-30ml,"Skin Relief Essence (30ml)","Instantly soothing and relieving for sensitive and irritated skin. Dr. Althea Skin Relief Essence is an ampoule-type Cica essence that soothes the sensitive skin that gets irritated from external environment, with an abundant amount of active ingredients full of nutrients providing vitalizing effect to the skin. It contains 85% of Centella Asiatica Extract that inhabits in pure areas of India, which is effective for skin conditioning and soothing. It excludes 20 harmful ingredients, and the b...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5543,295,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/image_grande_ac59f89f-1824-44e6-9f7d-e372a2d79c49.png?v=1716492746
dr-althea-gentle-vitamin-c-serum-30ml,"Gentle Vitamin C Serum (30ml)","A beginner-friendly Vitamin C that is gentle and safe for acne and fungal acne prone skin Dr.Althea Gentle Vitamin C is a beginner friendly serum designed to combat dark spots and improve skin tone. Formulated with Niacinamide, 3-0-ethyl ascorbic acid, and Hippophae rhamnoides fruit extract, it surpasses vitamin C levels found in various fruits. Tailored for sensitive skin, the serum's minimalistic composition of under 20 ingredients is acne-safe and enriched with Camellia sinensis leaf water...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5544,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Gentle_Vitamin_C_Serum__30ml_-removebg-preview.png?v=1766173824
dr-althea-pure-grinding-cleansing-balm-50ml,"Pure Grinding Cleansing Balm (50ml)","Effective cleansing balm in a convenient and hygienic dispenser Dr. Althea Pure Grinding Cleansing Balm, formulated with 14 essential ingredients, offers a gentle cleansing experience for sensitive skin. Its hygienic grinding mechanism allows for convenient and precise portion control without concerns of deterioration. The balm’s strong cleansing effect effortlessly removes sunscreen, makeup, and waterproof products, minimizing heaviness and oiliness. Enriched with Camellia Sinensis Seed Oil ...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5545,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_52_c232d198-c4c0-4998-b201-d81f0e868bc3.png?v=1769050578
dr-althea-green-relief-amino-gel-cleanser-100ml,"Green Relief Amino Gel Cleanser (100ml)","Mildly acidic gel cleanser that maintains skin's natural balance Dr. Althea Green Relief Amino Gel Cleanser is specially designed to reduce frictional irritation and easily produce foam, setting it apart from cream-type cleansers by avoiding excessive surfactants and clumping. It is a favorite among those with oily or combination skin, acne-prone individuals, and those in need of a quick lather due to its refreshing and effective oil-removing properties. The cleanser utilizes smaller bubbles ...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5546,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/gel_cleanser.png?v=1716609688
dr-althea-natural-radiance-essence-30ml,"Natural Radiance Essence (30ml)","Brighten and improve uneven skin tone with Kakadu plum extract! Dr. Althea Natural Radiance Essence is an essence that brightens dull skin and helps it return to its original state. It effectively helps give you clear and glowy skin. It contains 85% of Kakadu plum extract which has 150x more vitamin C compared to lemons. Along with other soothing ingredients, this is safe to be used on sensitive skin too. It is also free from 20 toxic ingredients and can be recycled. For better use, it is rec...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5547,295,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Natural_Radiance_Essence_30ml.png?v=1772997833
dr-althea-gentle-pore-vegan-cleansing-oil-150ml,"Gentle Pore Vegan Cleansing Oil (150ml)","Vegan cleansing oil that melts away makeup and impurities Dr. Althea Gentle Pore Cleansing Oil is a vegan and lightweight oil for refreshing deep cleanse. It melts away long wear make up and clogged pores. It also provides a deep cleanse that removes environmental pollutant such as fine dust. As a double effect of lipophile & hydrophile, it offers deep cleanse that hydrate the skin without feeling greasy and heavy feeling. Its bluish color is a color with ingredients from nature, not artifici...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5549,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/GentlePoreVeganCleansingOil1.png?v=1716609224
dr-althea-amino-acid-gentle-bubble-cleanser-140ml,"Amino Acid Gentle Bubble Cleanser (140ml)","Most gentle bubble cleanser but powerful cleansing ability Dr. Althea Amino Acid Gentle Bubble Cleanser is a gentle cleanser that kills bacteria while protecting acne-prone skin. Containing 17 different types of Amino-acid, it cleanses any impurities while revitalizing and strengthening the skin. It builds up water barriers around the skin so that the skin stays hydrated even after cleansing. The soft foam is a UFD -200nm nano-size foam which allows it to penetrate deep into the pores and eff...","Dr. Althea","Skincare","Dr. Althea, Skincare",TRUE,Title,Default Title,DRALTHEA-5550,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Althea_Amino_Acid_Cleanser.png?v=1720637405
dr-g-drg-mild-up-sunscreen-spf50-pa-50ml,"Dr.G Mild Up Sunscreen SPF50+ PA++++ (50ml)","Dr. G Mild Up Sunscreen SPF50+ PA++++ is a mild mineral sunscreen that provides broad-spectrum UV protection. It is a dewy formula with a weightless, soft finish that doesn't leave the skin feeling sticky. It is formulated with centella asiatica extract (soothing botanical ingredient) and pycnogenol (antioxidant). Dr. G Mild Up Sunscreen is fragrance-free and suitable for sensitive skin. Features Only physical UV filters with zinc oxide Lightweight feel SPF50 PA++++ Hypoallergenic tested Fragrance Free Skin Concern Irritation Redness UV Protection Skin types All skin types. Recommended for sensitive skin NPN 80124417 Made In KOREA 🇰🇷 How to use Apply an appropriate amount of product all over face and neck, avoiding eye and mouth areas. Use as last step of skincare approximately 30 minutes before sun exposure. Key Ingredients Zinc Oxide: Physical UV filter Pycnogenol: Extracted from French maritime pine bark for its antioxidant properties Centella Asiatica Extract: A skin-soothing botanical ingredient Tocopherol (Vitamin E) Ingredient Highlights Fragrance-Free Silicone-Free Alcohol-Free Paraben-Free","Dr. G","Sun Care","Dr. G, Sun Care",TRUE,Title,Default Title,DR.G-7529164341484,380,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/products/1300_Green_Mild_Up_Sun_Plus_50ml_01_light-800x800.jpg?v=1655334149
dr-reju-all-dr-reju-all-advanced-retino-mela-serum-30ml,"Dr. Reju-All Advanced Retino-Mela Serum (30ml)","Experience the excellence of Dr. Reju-All with the Dr. Reju-All Advanced Retino-Mela Serum (30ml). This premium serums is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective serums addition to their daily ritual.","Dr. Reju-All","Serums","Dr. Reju-All, Serums",TRUE,Title,Default Title,DR.REJU-ALL-9144693260524,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Reju-All_Advanced_Retino-Mela_Serum.png?v=1771612886
dr-reju-all-dr-reju-all-advanced-lc-ceramide-barrier-cream-50ml,"Dr. Reju-All Advanced LC-Ceramide Barrier Cream (50ml)","Dr. Reju-All Advanced LC-Ceramide Barrier Cream is uniquely formulated with advanced long-chain ceramides that authentically replicate your skin's protective structure. Unlike conventional formulas using inferior short-chain alternatives, this potent blend provides superior stability and extended support. Combined with niacinamide, panthenol, and soothing botanical extracts, it fortifies compromised barriers while locking in essential moisture. The silky, quick-absorbing texture glides effortlessly, leaving your complexion visibly plumper, smoother, and radiantly balanced.","Dr. Reju-All","Moisturizers","Dr. Reju-All, Moisturizers",TRUE,Title,Default Title,DR.REJU-ALL-9144693522668,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr.Reju-AllAdvancedLC-CeramideBarrierCream.png?v=1769547463
dr-reju-all-dr-reju-all-advanced-pdrn-rejuvenating-cream,"Dr. Reju-All Advanced PDRN Rejuvenating Cream","Experience the excellence of Dr. Reju-All with the Dr. Reju-All Advanced PDRN Rejuvenating Cream. This premium moisturizers is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective moisturizers addition to their daily ritual.","Dr. Reju-All","Moisturizers","Dr. Reju-All, Moisturizers",TRUE,Title,Default Title,DR.REJU-ALL-9120818299116,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Reju-All_PDRN_Cream.png?v=1769204901
eqqualberry-eqqualberry-purple-rice-pack-cleanser-130g,"Eqqualberry Purple Rice Pack Cleanser (130g)","A mild foam cleanser and clay mask featuring botanicals for a deep cleanse Eqqualberry Purple Rice Pack Cleanser is a 2-in-1 product that works as both a water-based cleanser and a deep-cleansing clay mask. The innovative formula with Purple Rice Complex, six different clays, BHA, PHA and natural enzymes effectively removes impurities, excess sebum and dead skin cells. Enriched with rice extract, green tea, centella, tea tree, ceramides and hyaluronic acid to strengthen the skin's moisture barrier and provide nourishment. Use daily as a cleanser or leave on for 3-5 minutes as a mask for refined skin texture and clearer pores. Features Deeply cleanses pores and removes excess sebum Tightens the look of pores and smooths skin texture Hydrating, non-drying finish with soothing botanicals Natural enzymes and peeling agents refine the skin Balances oil production Skin Concerns Dullness Irritation Blackhead Clogged Pores Acne Skin Types Oily to Combination Skin Sensitive Skin Made In South Korea How to use As a cleanser: Take an appropriate amount, work into a lather and gently massage onto damp face. Then rinse off. As a wash-off mask: Apply a generous layer to dry skin, leave on for 3–5 minutes, then rinse off. Key Highlights Purple Rice Extract : B alances the skin’s sebum production, reducing oiliness, and also enhances the skin’s own collagen production. Kaolin &amp; Bentonite : Effectively draws out blackheads, sebum and impurities AHA, BHA, &amp; PHA : Gently exfoliates along with other enzymes. Tea Tree, Centella Asiatica, &amp; Houttuynia Cordata : Soothing and calming. Ingredient Highlights Mineral Oil-Free Paraben-Free Sulfate-Free Alcohol-Free Fragrance-Free","Eqqualberry","Cleansers","Eqqualberry, Cleansers",TRUE,Title,Default Title,EQQUALBERRY-9073049665772,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/8809875456019-1-png_d8a9832c-0888-46fb-8beb-5912041d63a2.png?v=1765988660
eqqualberry-eqqualberry-purple-rice-cleansing-oil-200ml,"Eqqualberry Purple Rice Cleansing Oil (200ml)","A highly effective cleansing with a 24hr moisturizing effect Eqqualberry Purple Rice Cleansing Oil is a nourishing cleansing oil that effectively dissolves makeup and impurities without drying out the skin. It c ontains plant oils and rice extracts that cleanse pores, hydrate and support the skin's natural moisture and sebum balance. Upon contact with water, the oil transforms into a soft emulsion that leaves the skin clean, soft and fresh. With continued use, the skin will feel visibly smoother and look more even-toned, while the gentle exfoliating properties of purple rice work to improve skin clarity over time. Features Lightweight and non-comedogenic Melts makeup from the face and removes hardened sebum from pores Reduce the appearance of enlarged pores Rich in antioxidant, vitamins and rich ceramide Skin Concerns Uneven Skin Enlarged Pores Blackheads Irritation Clogged Pores Skin Types Oily to Combination Skin Sensitive Skin Made In South Korea How to use Apply an appropriate amount of oil on dry hands and gently massage the entire face, then rinse several times with lukewarm water Key Highlights Purple Rice Extract : B alances the skin’s sebum production, reducing oiliness, and also enhances the skin’s own collagen production. Anti Pore S Complex : H elps make enlarged pores less visible and improves skin elasticity, making it more resilient and even. Centella Asaitica : Soothing and anti-inflammatory effects for sensitive and irritated skin. Ingredient Highlights Mineral Oil-Free Paraben-Free Sulfate-Free Alcohol-Free Fragrance-Free Silicone-Free","Eqqualberry","Cleansers","Eqqualberry, Cleansers",TRUE,Title,Default Title,EQQUALBERRY-9073049469164,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/cze_pl_EQQUALBERRY-Purple-Rice-Pore-Smoothing-Cleansing-Oil-Odlicovaci-olej-200-ml-25205_1.webp?v=1762526002
